Date,Inbound,Outbound
2014-07-12,0.65,0.75
2014-07-13,0.63,0.73
2014-07-14,0.58,0.74
2014-07-15,0.56,0.74
2014-07-16,0.56,0.74
2014-07-17,0.55,0.73
2014-07-18,0.56,0.74
2014-07-19,0.64,0.75
2014-07-20,0.62,0.74
2014-07-21,0.58,0.74
2014-07-22,0.56,0.74
2014-07-23,0.56,0.74
2014-07-24,0.54,0.73
2014-07-25,0.55,0.74
2014-07-27,0.62,0.73
2014-07-28,0.57,0.74
2014-07-29,0.57,0.74
2014-07-30,0.56,0.74
2014-07-31,0.55,0.74
2014-08-01,0.56,0.74
2014-08-02,0.66,0.75
2014-08-03,0.64,0.74
2014-08-04,0.57,0.74
2014-08-05,0.56,0.74
2014-08-06,0.56,0.74
2014-08-07,0.56,0.74
2014-08-08,0.57,0.75
2014-08-09,0.65,0.75
2014-08-10,0.63,0.74
2014-08-11,0.57,0.75
2014-08-12,0.56,0.74
2014-08-13,0.56,0.74
2014-08-14,0.56,0.75
2014-08-15,0.58,0.76
2014-08-16,0.65,0.76
2014-08-17,0.64,0.74
2014-08-18,0.58,0.75
2014-08-19,0.57,0.75
2014-08-20,0.55,0.75
2014-08-21,0.55,0.75
2014-08-22,0.57,0.76
2014-08-23,0.65,0.77
2014-08-24,0.63,0.75
2014-08-25,0.57,0.75
2014-08-26,0.56,0.75
2014-08-27,0.57,0.75
2014-08-28,0.56,0.75
2014-08-29,0.57,0.76
2014-08-30,0.64,0.76
2014-08-31,0.63,0.74
2014-09-01,0.58,0.74
2014-09-02,0.57,0.75
2014-09-03,0.57,0.75
2014-09-04,0.56,0.75
2014-09-05,0.57,0.76
2014-09-06,0.66,0.77
2014-09-07,0.64,0.76
2014-09-08,0.59,0.76
2014-09-09,0.57,0.75
2014-09-10,0.57,0.75
2014-09-11,0.57,0.74
2014-09-12,0.57,0.75
2014-09-13,0.66,0.76
2014-09-14,0.64,0.75
2014-09-15,0.58,0.74
2014-09-16,0.56,0.74
2014-09-17,0.56,0.74
2014-09-18,0.56,0.74
2014-09-19,0.57,0.74
2014-09-20,0.65,0.76
2014-09-21,0.64,0.74
2014-09-22,0.58,0.75
2014-09-23,0.57,0.75
2014-09-24,0.57,0.75
2014-09-25,0.56,0.75
2014-09-26,0.57,0.75
2014-09-27,0.67,0.75
2014-09-28,0.64,0.73
2014-09-29,0.58,0.74
2014-09-30,0.57,0.73
2014-10-01,0.58,0.73
2014-10-02,0.58,0.73
2014-10-03,0.59,0.72
2014-10-04,0.66,0.74
2014-10-05,0.65,0.72
2014-10-06,0.59,0.73
2014-10-07,0.57,0.72
2014-10-08,0.57,0.68
2014-10-09,0.57,0.65
2014-10-10,0.57,0.65
2014-10-11,0.65,0.65
2014-10-12,0.64,0.65
2014-10-13,0.58,0.64
2014-10-14,0.57,0.61
2014-10-15,0.57,0.50
2014-10-16,0.56,0.53
2014-10-17,0.58,0.76
2014-10-18,0.65,0.77
2014-10-19,0.64,0.75
2014-10-20,0.58,0.76
2014-10-21,0.57,0.76
2014-10-22,0.57,0.76
2014-10-23,0.58,0.76
2014-10-24,0.58,0.77
2014-10-25,0.66,0.78
2014-10-26,0.64,0.76
2014-10-27,0.58,0.77
2014-10-28,0.57,0.77
2014-10-29,0.56,0.77
2014-10-30,0.55,0.77
2014-10-31,0.57,0.77
2014-11-01,0.65,0.78
2014-11-02,0.64,0.77
2014-11-03,0.58,0.77
2014-11-04,0.58,0.77
2014-11-05,0.58,0.77
2014-11-06,0.56,0.77
2014-11-07,0.58,0.77
2014-11-08,0.65,0.80
2014-11-09,0.64,0.77
2014-11-10,0.58,0.77
2014-11-11,0.57,0.77
2014-11-12,0.58,0.77
2014-11-13,0.57,0.77
2014-11-14,0.59,0.77
2014-11-15,0.66,0.78
2014-11-16,0.64,0.77
2014-11-17,0.59,0.77
2014-11-18,0.58,0.77
2014-11-19,0.58,0.77
2014-11-20,0.58,0.77
2014-11-21,0.59,0.78
